sample_ID,data_source,Strains,Medium,Temperature,pert_time,pert_time_unit,pert_id,perturbation_no_concentration,instrument,Yeast_cell_plate,protein_well,split_final,strain_role,chemical_role
B34,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C10,val_chem_only,train,val
B36,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#11,FCCP,O,WAY_BP1,C12,val_chem_only,train,val
B40,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D4,train,train,train
B42,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D6,train,train,train
B44,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D8,val_strain_only,val,train
B46,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D10,train,train,train
B48,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#12,DMSO,O,WAY_BP1,D12,train,train,train
B51,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E3,train,train,train
B52,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E4,train,train,train
B53,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E5,train,train,train
B54,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E6,train,train,train
B55,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E7,val_strain_only,val,train
B56,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E8,val_strain_only,val,train
B57,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E9,train,train,train
B58,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E10,train,train,train
B59,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#5,Cisplatin,O,WAY_BP1,E11,train,train,train
B60,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#13,NaCl,O,WAY_BP1,E12,train,train,train
B63,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#6,CHX,O,WAY_BP1,F3,train,train,train
B64,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F4,val_chem_only,train,val
B65,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#6,CHX,O,WAY_BP1,F5,train,train,train
B66,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F6,val_chem_only,train,val
B68,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F8,val_both,val,val
B69,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#6,CHX,O,WAY_BP1,F9,train,train,train
B70,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F10,val_chem_only,train,val
B71,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#6,CHX,O,WAY_BP1,F11,train,train,train
B72,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#14,Hydroxyurea,O,WAY_BP1,F12,val_chem_only,train,val
B76,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G4,train,train,train
B77,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G5,train,train,train
B78,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G6,train,train,train
B79,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G7,val_strain_only,val,train
B80,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G8,val_strain_only,val,train
B81,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G9,train,train,train
B82,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G10,val_time,train,train
B83,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#7,SDS,O,WAY_BP1,G11,train,train,train
B84,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#15,Sorbitol,O,WAY_BP1,G12,train,train,train
B88,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H4,train,train,train
B90,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H6,train,train,train
B92,WAYB,BAI,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H8,val_strain_only,val,train
B94,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H10,train,train,train
B96,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,#16,EDTA,O,WAY_BP1,H12,train,train,train
B100,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A4,val_chem_only,train,val
B102,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A6,val_chem_only,train,val
B103,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#1,Water,O,WAY_BP2,A7,val_strain_only,val,train
B104,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A8,val_both,val,val
B105,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#1,Water,O,WAY_BP2,A9,train,train,train
B106,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A10,val_chem_only,train,val
B107,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#1,Water,O,WAY_BP2,A11,train,train,train
B108,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#9,Amphotericin B,O,WAY_BP2,A12,val_chem_only,train,val
B111,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B3,train,train,train
B112,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B4,train,train,train
B113,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B5,train,train,train
B114,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B6,train,train,train
B115,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B7,val_strain_only,val,train
B116,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B8,val_strain_only,val,train
B117,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B9,train,train,train
B119,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#2,EDTA,O,WAY_BP2,B11,train,train,train
B120,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#10,Rapamycin,O,WAY_BP2,B12,train,train,train
B124,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C4,val_chem_only,train,val
B126,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C6,val_chem_only,train,val
B128,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C8,val_both,val,val
B130,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C10,val_chem_only,train,val
B132,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#11,FCCP,O,WAY_BP2,C12,val_chem_only,train,val
B136,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D4,train,train,train
B138,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D6,train,train,train
B140,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D8,val_strain_only,val,train
B142,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D10,train,train,train
B144,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#12,DMSO,O,WAY_BP2,D12,train,train,train
B147,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E3,train,train,train
B148,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E4,train,train,train
B149,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E5,train,train,train
B150,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E6,train,train,train
B151,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E7,val_strain_only,val,train
B152,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E8,val_strain_only,val,train
B153,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E9,train,train,train
B154,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E10,train,train,train
B155,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#5,Cisplatin,O,WAY_BP2,E11,train,train,train
B156,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#13,NaCl,O,WAY_BP2,E12,train,train,train
B159,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F3,train,train,train
B160,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F4,val_chem_only,train,val
B161,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F5,train,train,train
B162,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F6,val_chem_only,train,val
B163,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F7,val_strain_only,val,train
B164,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F8,val_both,val,val
B165,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F9,train,train,train
B166,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F10,val_chem_only,train,val
B167,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#6,CHX,O,WAY_BP2,F11,train,train,train
B168,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#14,Hydroxyurea,O,WAY_BP2,F12,val_chem_only,train,val
B171,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G3,train,train,train
B172,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G4,train,train,train
B173,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G5,train,train,train
B174,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G6,train,train,train
B175,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G7,val_strain_only,val,train
B176,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G8,val_strain_only,val,train
B178,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G10,train,train,train
B179,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#7,SDS,O,WAY_BP2,G11,train,train,train
B180,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#15,Sorbitol,O,WAY_BP2,G12,train,train,train
B184,WAYB,CGD,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H4,train,train,train
B186,WAYB,BAH,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H6,train,train,train
B188,WAYB,BAI,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H8,val_strain_only,val,train
B190,WAYB,CEK,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H10,train,train,train
B192,WAYB,DHY210,YNB+CSM+2% galactose,30,30,min,#16,EDTA,O,WAY_BP2,H12,train,train,train
B196,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A4,val_chem_only,train,val
B197,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#1,Water,O,WAY_BP3,A5,train,train,train
B198,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A6,val_chem_only,train,val
B199,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#1,Water,O,WAY_BP3,A7,val_strain_only,val,train
B200,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A8,val_both,val,val
B201,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#1,Water,O,WAY_BP3,A9,train,train,train
B202,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A10,val_chem_only,train,val
B203,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#1,Water,O,WAY_BP3,A11,train,train,train
B204,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#9,Amphotericin B,O,WAY_BP3,A12,val_chem_only,train,val
B207,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B3,train,train,train
B208,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B4,train,train,train
B209,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B5,train,train,train
B210,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B6,train,train,train
B211,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B7,val_strain_only,val,train
B212,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B8,val_strain_only,val,train
B213,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B9,train,train,train
B214,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#10,Rapamycin,O,WAY_BP3,B10,train,train,train
B215,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#2,EDTA,O,WAY_BP3,B11,train,train,train
B220,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C4,val_chem_only,train,val
B222,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C6,val_chem_only,train,val
B224,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C8,val_both,val,val
B226,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C10,val_chem_only,train,val
B228,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C12,val_chem_only,train,val
B232,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D4,train,train,train
B234,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D6,train,train,train
B236,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D8,val_strain_only,val,train
B238,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D10,train,train,train
B240,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D12,train,train,train
B243,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E3,train,train,train
B244,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E4,val_time,train,train
B245,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E5,train,train,train
B246,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E6,train,train,train
B247,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E7,val_strain_only,val,train
B248,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E8,val_strain_only,val,train
B249,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E9,train,train,train
B250,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E10,train,train,train
B251,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E11,train,train,train
B252,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E12,train,train,train
B255,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F3,train,train,train
B256,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F4,val_chem_only,train,val
B257,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F5,train,train,train
B258,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F6,val_chem_only,train,val
B259,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F7,val_strain_only,val,train
B260,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F8,val_both,val,val
B261,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F9,train,train,train
B262,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F10,val_chem_only,train,val
B263,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F11,train,train,train
B264,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F12,val_chem_only,train,val
B267,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G3,train,train,train
B268,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G4,train,train,train
B269,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G5,train,train,train
B270,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G6,train,train,train
B271,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G7,val_strain_only,val,train
B272,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G8,val_strain_only,val,train
B273,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G9,train,train,train
B274,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G10,train,train,train
B275,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G11,train,train,train
B276,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G12,train,train,train
B280,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H4,train,train,train
B282,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H6,train,train,train
B284,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H8,val_strain_only,val,train
B286,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H10,train,train,train
B288,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H12,train,train,train
B291,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A3,train,train,train
B292,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A4,val_chem_only,train,val
B293,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A5,train,train,train
B294,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A6,val_chem_only,train,val
B295,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A7,val_strain_only,val,train
B296,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A8,val_both,val,val
B297,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A9,train,train,train
B298,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A10,val_chem_only,train,val
B299,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A11,train,train,train
B300,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A12,val_chem_only,train,val
B303,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B3,train,train,train
B305,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B5,train,train,train
B307,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B7,val_strain_only,val,train
B308,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B8,val_strain_only,val,train
B309,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B9,train,train,train
B310,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B10,train,train,train
B311,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B11,val_time,train,train
B312,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B12,train,train,train
B316,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C4,val_chem_only,train,val
B318,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C6,val_chem_only,train,val
B320,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C8,val_both,val,val
B322,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C10,val_chem_only,train,val
B324,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C12,val_chem_only,train,val
B328,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D4,train,train,train
B330,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D6,train,train,train
B332,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D8,val_strain_only,val,train
B334,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D10,train,train,train
B336,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D12,train,train,train
B339,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E3,train,train,train
B340,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#13,NaCl,O,WAY_BP4,E4,train,train,train
B341,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E5,train,train,train
B342,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#13,NaCl,O,WAY_BP4,E6,train,train,train
B343,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E7,val_strain_only,val,train
B344,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#13,NaCl,O,WAY_BP4,E8,val_strain_only,val,train
B345,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E9,train,train,train
B346,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#13,NaCl,O,WAY_BP4,E10,train,train,train
B347,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E11,train,train,train
