sample_ID,data_source,Strains,Medium,Temperature,pert_time,pert_time_unit,pert_id,perturbation_no_concentration,instrument,Yeast_cell_plate,protein_well,split_final,strain_role,chemical_role
B217,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C1,test_both,test,test
B218,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#11,FCCP,O,WAY_BP3,C2,test_both,test,val
B219,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C3,test_chem_only,train,test
B221,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C5,test_chem_only,train,test
B223,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C7,test_both,val,test
B225,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C9,test_chem_only,train,test
B227,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#3,H2O2,O,WAY_BP3,C11,test_chem_only,train,test
B229,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D1,test_both,test,test
B230,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#12,DMSO,O,WAY_BP3,D2,test_strain_only,test,train
B231,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D3,test_chem_only,train,test
B233,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D5,test_chem_only,train,test
B235,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D7,test_both,val,test
B237,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D9,test_chem_only,train,test
B239,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#4,MMS,O,WAY_BP3,D11,test_chem_only,train,test
B241,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#5,Cisplatin,O,WAY_BP3,E1,test_strain_only,test,train
B242,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#13,NaCl,O,WAY_BP3,E2,test_strain_only,test,train
B253,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#6,CHX,O,WAY_BP3,F1,test_strain_only,test,train
B254,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#14,Hydroxyurea,O,WAY_BP3,F2,test_both,test,val
B265,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#7,SDS,O,WAY_BP3,G1,test_strain_only,test,train
B266,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#15,Sorbitol,O,WAY_BP3,G2,test_strain_only,test,train
B277,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H1,test_both,test,test
B278,WAYB,CRD,YNB+CSM+2% galactose,30,60,min,#16,EDTA,O,WAY_BP3,H2,test_strain_only,test,train
B279,WAYB,CGD,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H3,test_chem_only,train,test
B281,WAYB,BAH,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H5,test_chem_only,train,test
B283,WAYB,BAI,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H7,test_both,val,test
B285,WAYB,CEK,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H9,test_chem_only,train,test
B287,WAYB,DHY210,YNB+CSM+2% galactose,30,60,min,#8,G418,O,WAY_BP3,H11,test_chem_only,train,test
B289,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#1,Water,O,WAY_BP4,A1,test_strain_only,test,train
B290,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#9,Amphotericin B,O,WAY_BP4,A2,test_both,test,val
B301,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#2,EDTA,O,WAY_BP4,B1,test_strain_only,test,train
B302,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B2,test_strain_only,test,train
B304,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B4,test_time,train,train
B306,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#10,Rapamycin,O,WAY_BP4,B6,test_time,train,train
B313,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C1,test_both,test,test
B314,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#11,FCCP,O,WAY_BP4,C2,test_both,test,val
B315,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C3,test_chem_only,train,test
B317,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C5,test_chem_only,train,test
B319,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C7,test_both,val,test
B321,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C9,test_chem_only,train,test
B323,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#3,H2O2,O,WAY_BP4,C11,test_chem_only,train,test
B325,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D1,test_both,test,test
B326,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#12,DMSO,O,WAY_BP4,D2,test_strain_only,test,train
B327,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D3,test_chem_only,train,test
B329,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D5,test_chem_only,train,test
B331,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D7,test_both,val,test
B333,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D9,test_chem_only,train,test
B335,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#4,MMS,O,WAY_BP4,D11,test_chem_only,train,test
B337,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#5,Cisplatin,O,WAY_BP4,E1,test_strain_only,test,train
B338,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#13,NaCl,O,WAY_BP4,E2,test_strain_only,test,train
B349,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#6,CHX,O,WAY_BP4,F1,test_strain_only,test,train
B350,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#14,Hydroxyurea,O,WAY_BP4,F2,test_both,test,val
B361,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#7,SDS,O,WAY_BP4,G1,test_strain_only,test,train
B362,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#15,Sorbitol,O,WAY_BP4,G2,test_strain_only,test,train
B373,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H1,test_both,test,test
B374,WAYB,CRD,YNB+CSM+2% galactose,37,90,min,#16,EDTA,O,WAY_BP4,H2,test_strain_only,test,train
B375,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H3,test_chem_only,train,test
B377,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H5,test_chem_only,train,test
B379,WAYB,BAI,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H7,test_both,val,test
B381,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H9,test_chem_only,train,test
B383,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,#8,G418,O,WAY_BP4,H11,test_chem_only,train,test
B385,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#1,Water,O,WAY_BP5,A1,test_strain_only,test,train
B386,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#9,Amphotericin B,O,WAY_BP5,A2,test_both,test,val
B387,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,#1,Water,O,WAY_BP5,A3,test_time,train,train
B397,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#2,EDTA,O,WAY_BP5,B1,test_strain_only,test,train
B398,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#10,Rapamycin,O,WAY_BP5,B2,test_strain_only,test,train
B409,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#3,H2O2,O,WAY_BP5,C1,test_both,test,test
B410,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#11,FCCP,O,WAY_BP5,C2,test_both,test,val
B411,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,#3,H2O2,O,WAY_BP5,C3,test_chem_only,train,test
B413,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,#3,H2O2,O,WAY_BP5,C5,test_chem_only,train,test
B415,WAYB,BAI,YNB+CSM+2% galactose,37,120,min,#3,H2O2,O,WAY_BP5,C7,test_both,val,test
B417,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,#3,H2O2,O,WAY_BP5,C9,test_chem_only,train,test
B421,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D1,test_both,test,test
B422,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#12,DMSO,O,WAY_BP5,D2,test_strain_only,test,train
B423,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D3,test_chem_only,train,test
B425,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D5,test_chem_only,train,test
B427,WAYB,BAI,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D7,test_both,val,test
B429,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D9,test_chem_only,train,test
B431,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,#4,MMS,O,WAY_BP5,D11,test_chem_only,train,test
B433,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#5,Cisplatin,O,WAY_BP5,E1,test_strain_only,test,train
B434,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#13,NaCl,O,WAY_BP5,E2,test_strain_only,test,train
B441,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,#5,Cisplatin,O,WAY_BP5,E9,test_time,train,train
B445,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#6,CHX,O,WAY_BP5,F1,test_strain_only,test,train
B446,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#14,Hydroxyurea,O,WAY_BP5,F2,test_both,test,val
B457,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#7,SDS,O,WAY_BP5,G1,test_strain_only,test,train
B458,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#15,Sorbitol,O,WAY_BP5,G2,test_strain_only,test,train
B469,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H1,test_both,test,test
B470,WAYB,CRD,YNB+CSM+2% galactose,37,120,min,#16,EDTA,O,WAY_BP5,H2,test_strain_only,test,train
B471,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H3,test_chem_only,train,test
B473,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H5,test_chem_only,train,test
B475,WAYB,BAI,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H7,test_both,val,test
B477,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H9,test_chem_only,train,test
B479,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,#8,G418,O,WAY_BP5,H11,test_chem_only,train,test
B481,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#1,Water,CAC,WAY_BP6,A1,test_strain_only,test,train
B482,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#9,Amphotericin B,CAC,WAY_BP6,A2,test_both,test,val
B493,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#2,EDTA,CAC,WAY_BP6,B1,test_strain_only,test,train
B494,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#10,Rapamycin,CAC,WAY_BP6,B2,test_strain_only,test,train
B505,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C1,test_both,test,test
B506,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#11,FCCP,CAC,WAY_BP6,C2,test_both,test,val
B507,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C3,test_chem_only,train,test
B509,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C5,test_chem_only,train,test
B511,WAYB,BAI,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C7,test_both,val,test
B513,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C9,test_chem_only,train,test
B515,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,#3,H2O2,CAC,WAY_BP6,C11,test_chem_only,train,test
B517,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D1,test_both,test,test
B518,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#12,DMSO,CAC,WAY_BP6,D2,test_strain_only,test,train
B519,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D3,test_chem_only,train,test
B521,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D5,test_chem_only,train,test
B523,WAYB,BAI,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D7,test_both,val,test
B525,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D9,test_chem_only,train,test
B527,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,#4,MMS,CAC,WAY_BP6,D11,test_chem_only,train,test
B529,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#5,Cisplatin,CAC,WAY_BP6,E1,test_strain_only,test,train
B530,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#13,NaCl,CAC,WAY_BP6,E2,test_strain_only,test,train
B541,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#6,CHX,CAC,WAY_BP6,F1,test_strain_only,test,train
B542,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#14,Hydroxyurea,CAC,WAY_BP6,F2,test_both,test,val
B553,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#7,SDS,CAC,WAY_BP6,G1,test_strain_only,test,train
B554,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#15,Sorbitol,CAC,WAY_BP6,G2,test_strain_only,test,train
B565,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H1,test_both,test,test
B566,WAYB,CRD,YNB+CSM+2% galactose,37,240,min,#16,EDTA,CAC,WAY_BP6,H2,test_strain_only,test,train
B567,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H3,test_chem_only,train,test
B569,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H5,test_chem_only,train,test
B571,WAYB,BAI,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H7,test_both,val,test
B573,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H9,test_chem_only,train,test
B575,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,#8,G418,CAC,WAY_BP6,H11,test_chem_only,train,test
B577,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#1,Water,O,WAY_BP7,A1,test_strain_only,test,train
B578,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#9,Amphotericin B,O,WAY_BP7,A2,test_both,test,val
B589,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#2,EDTA,O,WAY_BP7,B1,test_strain_only,test,train
B590,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#10,Rapamycin,O,WAY_BP7,B2,test_strain_only,test,train
B601,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#3,H2O2,O,WAY_BP7,C1,test_both,test,test
B602,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#11,FCCP,O,WAY_BP7,C2,test_both,test,val
B603,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,#3,H2O2,O,WAY_BP7,C3,test_chem_only,train,test
B605,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,#3,H2O2,O,WAY_BP7,C5,test_chem_only,train,test
B607,WAYB,BAI,YNB+CSM+2% glucose,30,15,min,#3,H2O2,O,WAY_BP7,C7,test_both,val,test
B609,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,#3,H2O2,O,WAY_BP7,C9,test_chem_only,train,test
B613,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D1,test_both,test,test
B614,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#12,DMSO,O,WAY_BP7,D2,test_strain_only,test,train
B615,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D3,test_chem_only,train,test
B617,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D5,test_chem_only,train,test
B619,WAYB,BAI,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D7,test_both,val,test
B621,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D9,test_chem_only,train,test
B623,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,#4,MMS,O,WAY_BP7,D11,test_chem_only,train,test
B625,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#5,Cisplatin,O,WAY_BP7,E1,test_strain_only,test,train
B626,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#13,NaCl,O,WAY_BP7,E2,test_strain_only,test,train
B637,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#6,CHX,O,WAY_BP7,F1,test_strain_only,test,train
B638,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#14,Hydroxyurea,O,WAY_BP7,F2,test_both,test,val
B649,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#7,SDS,O,WAY_BP7,G1,test_strain_only,test,train
B650,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#15,Sorbitol,O,WAY_BP7,G2,test_strain_only,test,train
B661,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#8,G418,O,WAY_BP7,H1,test_both,test,test
B662,WAYB,CRD,YNB+CSM+2% glucose,30,15,min,#16,EDTA,O,WAY_BP7,H2,test_strain_only,test,train
